name,type,start_time,duration
"Test Analyzer","disable",1.0820511,1e-07
"Test Analyzer","enable",1.0829877,9.99999997e-08
"Test Analyzer","disable",1.0862338,1e-07
"Test Analyzer","enable",1.0882032,1e-07
"Test Analyzer","disable",1.0890362,1e-07
"Test Analyzer","enable",1.0908119,9.99999997e-08
"Test Analyzer","disable",1.0938561,1e-07
"Test Analyzer","error",1.0947803,0.0017027
"Test Analyzer","error",1.097825,0.0005475
"Test Analyzer","enable",1.1010025,1e-07
"Test Analyzer","disable",1.1024337,1e-07
"Test Analyzer","enable",1.1039659,1e-07
"Test Analyzer","disable",1.1050393,9.99999997e-08
"Test Analyzer","error",1.10668,0.0014477
"Test Analyzer","error",1.1092464,0.0032046
"Test Analyzer","error",1.1134048,0.0030977
"Test Analyzer","error",1.1183014,0.0002029
"Test Analyzer","error",1.1208842,0.0006258
"Test Analyzer","enable",1.123278,1e-07
"Test Analyzer","disable",1.1258592,9.99999997e-08
"Test Analyzer","error",1.1285613,0.0024557
"Test Analyzer","error",1.1337812,0.0009727
"Test Analyzer","enable",1.1348381,9.99999997e-08
"Test Analyzer","disable",1.136485,1e-07
"Test Analyzer","error",1.1396938,0.0019007
"Test Analyzer","enable",1.1431775,1e-07
"Test Analyzer","disable",1.1432331,1e-07
"Test Analyzer","error",1.1447616,0.0021438
"Test Analyzer","enable",1.1476865,1e-07
"Test Analyzer","disable",1.1500949,1e-07
"Test Analyzer","error",1.1520468,0.0001791
"Test Analyzer","enable",1.1544071,1e-07
"Test Analyzer","disable",1.1545311,1e-07
"Test Analyzer","enable",1.1564078,1e-07
"Test Analyzer","disable",1.1590386,1e-07
"Test Analyzer","enable",1.1614784,1e-07
"Test Analyzer","disable",1.1623105,1e-07
"Test Analyzer","error",1.1641355,0.0023355
"Test Analyzer","enable",1.1693615,1e-07
"Test Analyzer","disable",1.1706767,1e-07
"Test Analyzer","enable",1.1712679,1e-07
"Test Analyzer","disable",1.17315,1e-07
"Test Analyzer","enable",1.1751066,1e-07
"Test Analyzer","disable",1.176072,1e-07
"Test Analyzer","enable",1.1792524,1e-07
"Test Analyzer","disable",1.1805843,1e-07
"Test Analyzer","enable",1.1809344,1e-07
"Test Analyzer","disable",1.1823609,1e-07
"Test Analyzer","error",1.1828124,0.0012696
"Test Analyzer","enable",1.1871811,1e-07
"Test Analyzer","disable",1.1886635,9.99999997e-08
"Test Analyzer","enable",1.1910477,1e-07
"Test Analyzer","disable",1.1911729,1e-07
"Test Analyzer","error",1.1938419,0.002753
"Test Analyzer","error",1.1967822,0.0014211
"Test Analyzer","enable",1.1993339,9.99999997e-08
"Test Analyzer","disable",1.2021597,1e-07
"Test Analyzer","error",1.2043371,3.83e-05
"Test Analyzer","error",1.2051746,0.0005082
"Test Analyzer","enable",1.2085763,1e-07
"Test Analyzer","disable",1.2086841,1e-07
"Test Analyzer","error",1.2087742,0.0021969
"Test Analyzer","enable",1.2130751,1e-07
"Test Analyzer","disable",1.2146595,1e-07
